State,x,y
Andhra Pradesh,-65,-124
Arunachal Pradesh ,180,109
Assam,151,70
Bihar,51,55
Chhattisgarh,-6,-15
Goa,-138,-119
Gujarat,-176,12
Haryana,-91,114
Himachal Pradesh,-75,161
Jammu and Kashmir,-100,209
Jharkhand,38,20
Karnataka,-141,-133
Kerala,-120,-198
Madhya Pradesh,-75,14
Maharashtra,-121,-50
Manipur,172,41
Meghalaya,128,50
Mizoram,157,11
Nagaland,183,67
Odisha,37,-31
Punjab,-104,144
Rajasthan,-145,77
Sikkim,91,83
Tamil Nadu,-65,-198
Telangana,-65,-75
Tripura,93,-10
Uttar Pradesh,-24,83
Uttarakhand,-44,133
West Bengal,72,13
Andaman and Nicobar Islands,155,-137
Chandigarh,-143,165
Dadra and Nagar Haveli,-148,-37
Daman and Diu,-185,27
Lakshadweep,-195,-184
National Capital Territory of Delhi,-76,104
Puducherry,-45,-178